"Woodland boots",1,"Woodland Boots For Men",0
"Roadster shirt",2,"Roadster Men Solid Casual Blue Shirt",1
"Adidas T-shirt",2,"ADIDAS Solid men Round Neck Black, Grey T-Shirt",1
"Spykar shirt",2,"Spykar men Printed Casual Brown Shirt",1
"Puma sneakers",1,"Puma Salz NU IDP Sneakers For Men",1
"Wrogn shirt",2,"WROGN men Self Design Casual Grey Shirt",1
"Being Human T-shirt",2,"Being Human men T-Shirt",0
"Puma sneakers",1,"Puma Styx Evo Sneakers For Men",1
"Killer jeans jeans",2,"Killer Slim men Blue Jeans",1
"Flying Machine shirt",2,"Flying Machine men Checkered Casual Red Shirt",1
"Roadster shirt",2,"Roadster Men Solid Casual Blue Shirt",0
"Levis shirt",2,"Levis men Checkered Casual White, Blue Shirt",1
"Mufti sneakers",1,"Mufti Blue Slip-on Shoes Sneakers For Men",1
"Sparx sneakers",1,"Sparx Sneakers For Men",0
"Roush slip on",1,"Ruosh VINCE AW16 03B Slip On For Men",1
"Jockey T-shirt",2,"Jockey Solid men Henley Red T-Shirt",1
"Mufti T-shirt",2,"Mufti Striped Men Polo Neck Blue T-Shirt",1
"Nautica T-shirt",2,"Nautica Self Design Men Polo Neck Dark Blue T-Shirt",1
"Allen Solly  shirt",2,"Allen Solly men Checkered Casual Multicolor Shirt",0
"Tommy Hilfiger shirt",2,"Tommy Hilfiger Boys Casual Grey Shirt",1
"Being Human T-shirt",2,"Being Human men T-Shirt",0
"Duke T-shirt",2,"Duke Solid men Polo Neck Yellow T-Shirt",0
"Mufti T-shirt",2,"Mufti Striped Men Polo Neck Blue T-Shirt",1
"Adidas T-shirt",2,"ADIDAS Solid men Round Neck Black, Grey T-Shirt",1
"Peter England shirt",2,"Peter England men Checkered Casual Blue Shirt",0
"United Colors of Benetton T-shirt",2,"United Colors of Benetton Printed men Round Neck White, Dark Blue T-Shirt",1
"Spykar shirt",2,"Spykar men Printed Casual Brown Shirt",1
"Tommy Hilfiger shirt",2,"Tommy Hilfiger Boys Casual Grey Shirt",1
